CO_UNIDADE;NO_UNIDADE
369;CARLOS GOMES, PR
370;BARAO DO SERRO AZUL, PR
371;BACACHERI, PR
372;CRISTO REI, PR
373;MARECHAL DEODORO, PR
374;MERCES, PR
375;PORTAO, PR
376;SANTA FELICIDADE, PR
377;RUA DAS FLORES, PR
378;ANTONINA, PR
379;APUCARANA, PR
380;ARAPONGAS, PR
381;ARAUCARIA, PR
382;BANDEIRANTES, PR
383;CAMBARA, PR
384;CAMBE, PR
385;CAMPO LARGO, PR
386;CAMPO MOURAO, PR
387;CASTRO, PR
388;CORNELIO PROCOPIO, PR
389;GUARAPUAVA, PR
390;IRATI, PR
391;JACAREZINHO, PR
392;JAGUARIAIVA, PR
393;LAPA, PR
394;LONDRINA, PR
395;MARINGA, PR
396;MORRETES, PR
397;PALMEIRA, PR
398;PARANAGUA, PR
399;PARANAVAI, PR
400;PONTA GROSSA, PR
401;PRUDENTOPOLIS, PR
402;RIBEIRAO CLARO, PR
403;RIO NEGRO, PR
404;ROLANDIA, PR
405;SANTO ANTONIO DA PLATINA, PR
406;SAO JOSE DOS PINHAIS, PR
407;UNIAO DA VITORIA, PR
408;ANITA GARIBALDI, SC
409;NEWTON MACUCO, SC
410;HERIBERTO HULSE, SC
411;BLUMENAU, SC
412;BRUSQUE, SC
413;CANOINHAS, SC
414;CHAPECO, SC
415;CRICIUMA, SC
416;ITAJAI, SC
417;JARAGUA DO SUL, SC
418;JOACABA, SC
419;JOINVILLE, SC
420;LAGES, SC
421;LAGUNA, SC
422;PORTO UNIAO, SC
423;RIO DO SUL, SC
424;SAO FRANCISCO DO SUL, SC
425;TUBARAO, SC
426;SIDEROPOLIS, SC
427;ARARANGUA, SC
428;PRACA DA ALFANDEGA, RS
429;SHOPPING IGUATEMI, RS
430;RUA DA PRAIA, RS
431;ASSIS BRASIL, RS
432;AZENHA, RS
433;VILA FERNANDES, RS
434;CORONEL BORDINI, RS
435;BOM FIM, RS
436;CAVALHADA, RS
437;BOURBON WALLIG, RS
439;SHOPPING TOTAL, RS
440;V COMAR, RS
441;JOSE DO PATROCINIO, RS
442;MENINO DEUS, RS
443;MOINHOS DE VENTO, RS
444;NAVEGANTES, RS
445;PARTENON, RS
446;PASSO DA AREIA, RS
447;PROTASIO ALVES, RS
448;ACORIANOS, RS
449;SAO JOAO, RS
450;GUIA LOPES, RS
451;OTAVIO ROCHA, RS
452;AVENIDA DO FORTE, RS
453;PRACA RUI BARBOSA, RS
454;INDEPENDENCIA, RS
455;ALEGRETE, RS
456;BAGE, RS
457;BENTO GONCALVES, RS
459;CACHOEIRA DO SUL, RS
460;CAMAQUA, RS
461;CAMPO BOM, RS
462;CANGUCU, RS
463;CANOAS, RS
464;CARAZINHO, RS
465;CAXIAS DO SUL, RS
466;CERRO LARGO, RS
467;CRUZ ALTA, RS
469;DOM PEDRITO, RS
470;ERECHIM, RS
471;ESTANCIA VELHA, RS
472;ESTEIO, RS
473;ESTRELA, RS
474;FARROUPILHA, RS
475;FREDERICO WESTPHALEN, RS
476;GARIBALDI, RS
477;GETULIO VARGAS, RS
478;GRAVATAI, RS
479;GUAIBA, RS
480;GIRUA, RS
481;HORIZONTINA, RS
482;IBIRUBA, RS
483;IJUI, RS
484;ITAQUI, RS
485;JAGUARAO, RS
486;JAGUARI, RS
487;JULIO DE CASTILHOS, RS
488;LAGOA VERMELHA, RS
489;LAJEADO, RS
490;NOVO HAMBURGO, RS
491;OSORIO, RS
492;PALMEIRA DAS MISSOES, RS
493;PANAMBI, RS
494;PASSO FUNDO, RS
495;PELOTAS, RS
496;QUARAI, RS
497;RIO GRANDE, RS
498;RIO PARDO, RS
499;ROSARIO DO SUL, RS
500;SANTA CRUZ DO SUL, RS
501;SANTA MARIA, RS
502;SANTA ROSA, RS
503;SANTIAGO, RS
504;SANTO ANGELO, RS
505;LIVRAMENTO, RS
506;SAO BORJA, RS
507;SAO FRANCISCO DE PAULA, RS
508;SAO GABRIEL, RS
509;SAO JERONIMO, RS
511;SAO LEOPOLDO, RS
512;SAO LOURENCO DO SUL, RS
513;SAO LUIZ GONZAGA, RS
514;SAPIRANGA, RS
515;SARANDI, RS
516;SOLEDADE, RS
517;TAPES, RS
518;TAQUARA, RS
519;TAQUARI, RS
520;TRES PASSOS, RS
521;TRES DE MAIO, RS
522;TRAMANDAI, RS
524;TORRES, RS
525;TUPANCIRETA, RS
526;URUGUAIANA, RS
527;VACARIA, RS
528;VERANOPOLIS, RS
529;VENANCIO AIRES, RS
530;MONTENEGRO, RS
531;CIDADE NOVA, RS
532;CAMOBI, RS
533;ITAMARATY, DF
534;RIO BRANCO, AC
535;PROSPERA, SC
536;OLEGARIO MACIEL, MG
537;PRACA JAURU, RJ
538;PARADA INGLESA, SP
539;PARQUE DAS COLINAS, RN
542;RIO DE JANEIRO, RJ
544;VILA DA PENHA, RJ
545;RIO SUL, RJ
546;CAJAMAR, SP
547;BARRA SUL, SC
548;JUSTICA FEDERAL JOAO PESSOA, PB
549;SAO DOMINGOS, SC
551;ALTAMIRA, PA
552;ITAITUBA, PA
554;SOBRAL, CE
555;LINHARES, ES
556;NOVA VENECIA, ES
557;GUACUI, ES
558;SOUSA, PB
559;CABO, PE
560;MOSSORO, RN
561;ITABAIANA, SE
562;DOURADOS, MS
563;TRES LAGOAS, MS
564;CATALAO, GO
565;JATAI, GO
566;RIO VERDE, GO
567;ENCANTADO, RS
568;CASCAVEL, PR
569;CIANORTE, PR
570;UMUARAMA, PR
571;CURITIBANOS, SC
572;CACADOR, SC
573;LEME, RJ
574;BIRIGUI, SP
575;MOJI-GUACU, SP
576;SAO ROQUE, SP
578;PESSOA ANTA, CE
579;NOVA AURORA, PR
580;INDUSTRIAL, SC
581;CAPITAL ECOLOGICA, PR
584;UNIVERSIDADE FEDERAL VICOSA, MG
586;SALGADO FILHO, PR
588;IPANEMA, RJ
589;FOZ DO IGUACU, PR
590;CARIACICA, ES
591;CASTELO, ES
592;MUQUI, ES
593;NOVA PRATA, RS
594;NAO-ME-TOQUE, RS
595;DESCALVADO, SP
596;ITAPEVA, SP
597;JALES, SP
598;MATAO, SP
599;PEREIRA BARRETO, SP
600;PORTO FELIZ, SP
601;FRANCISCO BELTRAO, PR
602;PATO BRANCO, PR
603;CRUZILIA, MG
604;CACAPAVA DO SUL, RS
605;SAO MIGUEL PAULISTA, SP
606;ALMENARA, MG
607;JOAO MONLEVADE, MG
608;LEOPOLDINA, MG
609;PIRAPORA, MG
610;ARAGUAINA, TO
611;MORRINHOS, GO
612;BROOKLIN, SP
613;IGUATU, CE
614;RONDONOPOLIS, MT
615;AQUIDAUANA, MS
616;CAMPO MAIOR, PI
617;MINISTRO JOSE AMERICO, PB
618;LIBERDADE, BA
619;DEL PASEO, CE
620;JUSTICA TRABALHO BELO HORIZONTE, MG
621;JUSTICA FEDERAL BELO HORIZONTE, MG
623;PRAIA DE BELAS, RS
625;JUSTICA FEDERAL RIO DE JANEIRO, RJ
626;VITORIA DE SANTO ANTAO, PE
627;CONCORDIA, SC
628;SAO BENTO DO SUL, SC
629;CORINTO, MG
630;CONJUNTO NACIONAL, DF
631;PACO MUNICIPAL, SP
632;MADEIRA MAMORE, RO
633;UFRN - CAIXA ECONOMICA FEDERAL, RN
634;JACOBINA, BA
635;ITAPETINGA, BA
636;IPIAU, BA
637;CARAPICUIBA, SP
638;FLORIANO, PI
639;PICOS, PI
640;JUSTICA FEDERAL SALVADOR, BA
641;TRE TERESINA, PI
642;SUZANO, SP
643;GUARA, DF
644;IMPERATRIZ, MA
645;LAGARTO, SE
646;ABADIANIA, GO
647;CAPITAL, DF
648;JABOATAO, PE
649;JUSTICA FEDERAL NATAL, RN
650;JUSTICA FEDERAL CURITIBA, PR
651;CASA FORTE, PE
652;JUSTICA FEDERAL PORTO ALEGRE, RS
